fit_session,model,head,columns,nonzero_exact,nonzero_above_1e_12,interaction_nonzero_exact,intercept_or_constant
2023-01-03,M1,mu5,19,19,19,0,0.0023846916838473216
2023-01-03,M1,q90,19,7,7,0,0.07487538987302003
2023-01-03,M1,p10,19,19,19,0,-2.9008796119539997
2023-01-03,M2,mu5,63,63,63,6,0.0023846916838473225
2023-01-03,M2,q90,63,10,10,0,0.0735436789676535
2023-01-03,M2,p10,63,63,63,6,-3.0597796969757307
2023-02-01,M0,mu5,0,0,0,0,0.002887030390375007
2023-02-01,M0,q90,0,0,0,0,0.0735151738831162
2023-02-01,M0,p10,0,0,0,0,0.06337325349301397
2023-02-01,M1,mu5,19,19,19,0,0.0028870303903750024
2023-02-01,M1,q90,19,6,6,0,0.07473722182314353
2023-02-01,M1,p10,19,19,19,0,-2.9290450253652747
2023-02-01,M2,mu5,63,63,63,6,0.0028870303903751524
2023-02-01,M2,q90,63,14,14,0,0.07261466913480158
2023-02-01,M2,p10,63,63,63,6,-3.096852955644643
2023-03-01,M0,mu5,0,0,0,0,0.00271622408797242
2023-03-01,M0,q90,0,0,0,0,0.07272163711982281
2023-03-01,M0,p10,0,0,0,0,0.062193927522037215
2023-03-01,M1,mu5,19,19,19,0,0.0027162240879724194
2023-03-01,M1,q90,19,5,5,0,0.07261221434529849
2023-03-01,M1,p10,19,19,19,0,-2.9492691422206008
2023-03-01,M2,mu5,63,63,63,6,0.0027162240879724324
2023-03-01,M2,q90,63,13,13,0,0.07220950357765094
2023-03-01,M2,p10,63,63,63,6,-3.120445217167791
2023-04-03,M0,mu5,0,0,0,0,0.0026638277685239924
2023-04-03,M0,q90,0,0,0,0,0.07387916045501919
2023-04-03,M0,p10,0,0,0,0,0.06465517241379311
2023-04-03,M1,mu5,19,19,19,0,0.002663827768523985
2023-04-03,M1,q90,19,6,6,0,0.07389167407112979
2023-04-03,M1,p10,19,19,19,0,-2.8674353399871135
2023-04-03,M2,mu5,63,63,63,6,0.0026638277685240097
2023-04-03,M2,q90,63,11,11,0,0.06969369191080006
2023-04-03,M2,p10,63,63,63,6,-2.9743751755294388
2023-05-01,M0,mu5,0,0,0,0,0.0029444556040005183
2023-05-01,M0,q90,0,0,0,0,0.07303844795579169
2023-05-01,M0,p10,0,0,0,0,0.06349952963311382
2023-05-01,M1,mu5,19,19,19,0,0.002944455604000531
