fit_session,model,head,column,coefficient,exact_zero,nonzero_but_rounds_to_6dp_zero
2020-10-01,M2,q90,D02_spline_2,0.0,True,False
2020-10-01,M2,q90,D03_spline_0,0.002313951281847444,False,False
2020-10-01,M2,q90,D03_spline_1,0.0,True,False
2020-10-01,M2,q90,D03_spline_2,-0.0004225502593191566,False,False
2020-10-01,M2,q90,E01_spline_0,-0.00190000291488,False,False
2020-10-01,M2,q90,E01_spline_1,0.0,True,False
2020-10-01,M2,q90,E01_spline_2,0.013845552177151459,False,False
2020-10-01,M2,q90,F01_spline_0,-0.00043459432912952225,False,False
2020-10-01,M2,q90,F01_spline_1,-0.0030552361895827647,False,False
2020-10-01,M2,q90,F01_spline_2,0.01712076810541259,False,False
2020-10-01,M2,q90,F02_spline_0,-0.002814217044522956,False,False
2020-10-01,M2,q90,F02_spline_1,0.0,True,False
2020-10-01,M2,q90,F02_spline_2,0.0,True,False
2020-10-01,M2,q90,F03_spline_0,0.0,True,False
2020-10-01,M2,q90,F03_spline_1,0.0005473860923698673,False,False
2020-10-01,M2,q90,F03_spline_2,0.0,True,False
2020-10-01,M2,q90,F04_spline_0,0.012113225801952026,False,False
2020-10-01,M2,q90,F04_spline_1,0.0,True,False
2020-10-01,M2,q90,F04_spline_2,0.0,True,False
2020-10-01,M2,q90,I01,0.0,True,False
2020-10-01,M2,q90,I02,0.0,True,False
2020-10-01,M2,q90,I03,0.0,True,False
2020-10-01,M2,q90,I04,0.0,True,False
2020-10-01,M2,q90,I05,0.0,True,False
2020-10-01,M2,q90,I06,0.0,True,False
2020-10-01,M2,p10,A01_spline_0,0.47326359251459615,False,False
